type,server_time,message_id,sender,content,time,data
start,1661483383659,,,,,
client,1661483383933,None,Me,Start ,1661483383659,"{'conversation_id': '0', 'sender': 'Me', 'time': 1661483383659, 'content': 'Start ', 'read': True, 'server_time': 1661483383933}"
server,None,None,Tom,[Vivian] Need to watch closely.,1661483383936,"{'conversation_id': 12, 'sender': 'Tom', 'time': 1661483383936, 'content': '[Vivian] Need to watch closely.', 'read': False}"
client,1661483397407,None,Me,need to need to need to wash closely OK OK it's working now yeah. ,1661483397319,"{'conversation_id': '12', 'sender': 'Me', 'time': 1661483397319, 'content': ""need to need to need to wash closely OK OK it's working now yeah. "", 'read': True, 'server_time': 1661483397407}"
server,None,None,Danny,[Robin] I am trying again.,1661483397413,"{'conversation_id': 14, 'sender': 'Danny', 'time': 1661483397413, 'content': '[Robin] I am trying again.', 'read': False}"
client,1661483422031,None,Me,i'm trying again. ,1661483421706,"{'conversation_id': '10', 'sender': 'Me', 'time': 1661483421706, 'content': ""i'm trying again. "", 'read': True, 'server_time': 1661483422031}"
server,None,None,Jack,[Frank] You're the greatest.,1661483422036,"{'conversation_id': 7, 'sender': 'Jack', 'time': 1661483422036, 'content': ""[Frank] You're the greatest."", 'read': False}"
client,1661483445936,None,Me,you are the greatest. ,1661483445844,"{'conversation_id': '13', 'sender': 'Me', 'time': 1661483445844, 'content': 'you are the greatest. ', 'read': True, 'server_time': 1661483445936}"
server,None,None,Danny,[Betty] Pressure to finish my review!,1661483445942,"{'conversation_id': 14, 'sender': 'Danny', 'time': 1661483445942, 'content': '[Betty] Pressure to finish my review!', 'read': False}"
client,1661483475206,None,Me,pressure to finish my review. ,1661483474910,"{'conversation_id': '5', 'sender': 'Me', 'time': 1661483474910, 'content': 'pressure to finish my review. ', 'read': True, 'server_time': 1661483475206}"
server,None,None,Frank,[Susie] What is the mood?,1661483475211,"{'conversation_id': 13, 'sender': 'Frank', 'time': 1661483475211, 'content': '[Susie] What is the mood?', 'read': False}"
client,1661483498883,None,Me,what is the mood. ,1661483498606,"{'conversation_id': '4', 'sender': 'Me', 'time': 1661483498606, 'content': 'what is the mood. ', 'read': True, 'server_time': 1661483498883}"
server,None,None,Danny,[Peter] I'm in Stan's office.,1661483498890,"{'conversation_id': 14, 'sender': 'Danny', 'time': 1661483498890, 'content': ""[Peter] I'm in Stan's office."", 'read': False}"
client,1661483549932,None,Me,i am instance office. ,1661483549781,"{'conversation_id': '0', 'sender': 'Me', 'time': 1661483549781, 'content': 'i am instance office. ', 'read': True, 'server_time': 1661483549932}"
server,None,None,Tony,[Danny] They have capacity now.,1661483549934,"{'conversation_id': 6, 'sender': 'Tony', 'time': 1661483549934, 'content': '[Danny] They have capacity now.', 'read': False}"
client,1661483582302,None,Me,they have capacity now. ,1661483581996,"{'conversation_id': '14', 'sender': 'Me', 'time': 1661483581996, 'content': 'they have capacity now. ', 'read': True, 'server_time': 1661483582302}"
server,None,None,Betty,"[Robin] Hey TK, how are you doing?",1661483582307,"{'conversation_id': 5, 'sender': 'Betty', 'time': 1661483582307, 'content': '[Robin] Hey TK, how are you doing?', 'read': False}"
client,1661483617077,None,Me,hey TK. how are you doing. ,1661483616998,"{'conversation_id': '10', 'sender': 'Me', 'time': 1661483616998, 'content': 'hey TK. how are you doing. ', 'read': True, 'server_time': 1661483617077}"
server,None,None,John,[Susan] Can you help me here?,1661483617082,"{'conversation_id': 2, 'sender': 'John', 'time': 1661483617082, 'content': '[Susan] Can you help me here?', 'read': False}"
client,1661483641918,None,Me,can you help me here. ,1661483641612,"{'conversation_id': '1', 'sender': 'Me', 'time': 1661483641612, 'content': 'can you help me here. ', 'read': True, 'server_time': 1661483641918}"
server,None,None,Danny,[William] Did you get this?,1661483641920,"{'conversation_id': 14, 'sender': 'Danny', 'time': 1661483641920, 'content': '[William] Did you get this?', 'read': False}"
client,1661483663018,None,Me,did you get this. ,1661483662802,"{'conversation_id': '15', 'sender': 'Me', 'time': 1661483662802, 'content': 'did you get this. ', 'read': True, 'server_time': 1661483663018}"
server,None,None,Vivian,[William] Do you still need me to sign something?,1661483663019,"{'conversation_id': 11, 'sender': 'Vivian', 'time': 1661483663019, 'content': '[William] Do you still need me to sign something?', 'read': False}"
client,1661483687679,None,Me,do you need me to send something. ,1661483687502,"{'conversation_id': '15', 'sender': 'Me', 'time': 1661483687502, 'content': 'do you need me to send something. ', 'read': True, 'server_time': 1661483687679}"
server,None,None,Robin,[Kelly] I'm not planning on doing anything this week.,1661483687680,"{'conversation_id': 10, 'sender': 'Robin', 'time': 1661483687680, 'content': ""[Kelly] I'm not planning on doing anything this week."", 'read': False}"
client,1661483712737,None,Me,i'm not planning on doing anything this week. ,1661483712538,"{'conversation_id': '9', 'sender': 'Me', 'time': 1661483712538, 'content': ""i'm not planning on doing anything this week. "", 'read': True, 'server_time': 1661483712737}"
server,None,None,William,[Betty] Hope you guys are doing fine.,1661483712739,"{'conversation_id': 15, 'sender': 'William', 'time': 1661483712739, 'content': '[Betty] Hope you guys are doing fine.', 'read': False}"
client,1661483732549,None,Me,hope you guys are doing fine. ,1661483732314,"{'conversation_id': '5', 'sender': 'Me', 'time': 1661483732314, 'content': 'hope you guys are doing fine. ', 'read': True, 'server_time': 1661483732549}"
server,None,None,Susie,[Tom] Ken agreed yesterday.,1661483732551,"{'conversation_id': 4, 'sender': 'Susie', 'time': 1661483732551, 'content': '[Tom] Ken agreed yesterday.', 'read': False}"
client,1661483785677,None,Me,Ken agreed yesterday ,1661483785407,"{'conversation_id': '12', 'sender': 'Me', 'time': 1661483785407, 'content': 'Ken agreed yesterday ', 'read': True, 'server_time': 1661483785677}"
server,None,None,William,[John] We need to talk about this month.,1661483785684,"{'conversation_id': 15, 'sender': 'William', 'time': 1661483785684, 'content': '[John] We need to talk about this month.', 'read': False}"
stop,1661483785684,,,,,